artikelnummer,omschrijving,hs_code
5733,Opvouwbare opbergbox,4202929890
5734,Halsterset Kerst Hobby horse,9503009990
5735,Fleecedeken Kerst Hobby horse,9503009990
5736,Oornetje Kerst Hobby horse,9503009990
5737,Hindernis Hobby horse,9506999000
5739,Voerset Hobby horse,9503009990
5740,Paardenspeelgoed Snackcounter,4205009000
5741,Paardenspeelgoed boxhanger gift box,4205009000
5742,Invlechtelastiekjes box,4016999790
5745,Bithanddoekje 30x20cm,6307101000
5746,Hands-in handdoek 65x35cm,6307101000
5747,Poetsschort Unicorn,6307909899
5748,Cap tas Unicorn,4202929890
5749,Staartbeschermer met zak,4201000090
5750,Frontriem Love Hobby horse,9503009990
5751,Transport hooitas,4202929890
5752,Transport voertas,4202929890
5753,Paardenspeelgoed Good luck,4205009000
5754,Vliegenmasker Unicorn Hobby horse,9503009990
5781,Waarschuwingsstrik Shimmer,9615900000
5782,Invlechtelastiekjes emmer,4016999790
5783,Graasmasker met vliegenkap,4201000090
5785,Hooinet giant 3cm maas,5608191100
5786,Slowfeeder turnout dubbelzijdig,4202929890
5790,Naamlabel paard,4205009000
6005,Eczeemdeken Big neck,4201000090
6006,Staldeken luxe 300gr,4201000090
6013,Vliegendeken met afneembare hals en masker,4201000090
6014,Fleecedeken ornament,4201000090
6017,Fleecedeken basic zonder singels,4201000090
6018,Fleecedeken basic met singels,4201000090
6019,Fleecedeken basic hals&singels,4201000090
6040,Losse hals turnout 200gr,4201000090
6045,QHP deken zomer,4201000090
6057,Stapmolendeken waterdicht 200gr,4201000090
6060,Eczeemdeken,4201000090
6062,Tuigvliegendeken met hals,4201000090
6085,Vliegendeken falabella,4201000090
6092,Halsdeken eczeem,4201000090
6099,Regendeken turnout vaste hals 300gr,4201000090
6100,Bilkoorden elastisch,4201000090
6101,Knip,8302490099
6106,Uitrijdeken fleece ornament,4201000090
6112,Fleecedeken falabella,4201000090
6115,Regendeken turnout Big neck 300gr,4201000090
6116,Uitrijdeken kerst,4201000090
